rome_code,description
F1103,"Contrôle des bâtiments, des locaux et réalise des diagnostics techniques (électricité, solidité du bâtiment, sécurité, ...), sanitaires (amiante, plomb, parasites, gaz, ...) selon la réglementation.
Peut réaliser des calculs de surfaces.
Peut coordonner une équipe."
F1104,"Etudie et réalise les plans ou dessins de projets de constructions, de réhabilitations, d''aménagements d''ouvrages intérieurs et/ou extérieurs selon les solutions techniques et architecturales retenues et la réglementation.
Peut coordonner une équipe."
F1105,"Etudie les données géologiques, géophysiques de sols, sous-sols, gisements et analyse leurs caractéristiques (compositions, natures, risques géologiques, potentiels, ...).
Peut suivre et contrôler l''exploitation de ressources naturelles.
Peut coordonner une équipe."
F1106,"Elabore des projets d''ouvrage et de construction et étudie les procédés techniques, les modes constructifs, les coûts.
Réalise l''étude d''exécution des travaux et effectue le suivi technique et économique du chantier.
Peut coordonner une équipe, un projet."
F1107,"Procède à des relevés métriques des terrains fonciers, des infrastructures, des réseaux divers et des ouvrages existants ou à édifier selon les règles de sécurité. Etablit des plans, des cartes d''implantations d''ouvrages selon la législation en vigueur.
Peut évaluer et expertiser la valeur de biens fonciers."
F1108,"Effectue les métrés et établit les devis quantitatif et estimatif d''ouvrages à réaliser dans le cadre d''une opération de construction.
Peut préparer les dossiers d''exécution des travaux et effectuer le suivi des chantiers."
F1201,"Organise et suit les différents moyens techniques (matériels, matériaux, ...), humains (internes et externes de l''entreprise) et financiers (mode constructif, ...) nécessaires à la réalisation d''un chantier de construction, de la phase projet jusqu''à la livraison selon les délais et les règles de sécurité. Négocie et contractualise des prestations avec le maître d''ouvrage et/ou le maître d''oeuvre."
F1202,"Prépare, organise et suit au quotidien le déroulement des activités d''un ou de plusieurs chantiers de Bâtiment Travaux Publics selon les normes de sécurité. Coordonne les interventions des équipes internes et externes à l''entreprise selon les impératifs de délais."
F1203,"Coordonne l''ensemble des opérations d''extraction, de transport sur site, de traitement et d''expédition des matériaux solides, liquides ou gazeux issus de leur milieu naturel selon les normes de sécurité."
F1204,"Elabore, déploie ou contrôle les dispositifs et plans d''action de l''entreprise en matière de qualité, hygiène, sécurité et environnement - QHSE selon la réglementation et les normes en vigueur.
Met en place les moyens de prévention des risques liés à la co-activité sur les chantiers et les mesures de protection de la santé des intervenants, ou vérifie leur mise en œuvre.
Peut coordonner une équipe."
F1301,"Approvisionne et alimente en matériels et matériaux au moyen d''une grue les différents corps de métiers intervenant sur un site (chantier, portuaire, naval) selon les règles de sécurité."
F1302,"Conduit et manipule différents types d''engins lourds de chantier destinés au creusement, au terrassement, au nivellement ou à l''extraction selon les règles de sécurité. Peut transporter des matériaux, des minerais ou des déblais sur des emplacements de chantiers déterminés. Peut prendre en charge l''acheminement de l''engin sur le chantier à l''aide d''un véhicule porteur."
F1401,"Effectue la mise en oeuvre des installations de forage et réalise les opérations d''extraction et de pompage de produits liquides (eau, pétrole, ...) ou gazeux issus du sous-sol selon les règles de sécurité. Peut manipuler des machines spéciales lors de forage en grande profondeur. Peut intervenir dans un environnement terrestre (on-shore) ou maritime (off-shore)."
F1402,"Réalise les opérations d''abattage, de creusement, de forage, ... pour extraire des roches de leur milieu naturel à l''aide d''engins et de produits explosifs selon les règles de sécurité. Charge et transporte des matières au sein de l''exploitation. Peut effectuer des démolitions (parois rocheuses, montagnes, ...) pour l''aménagement d''ouvrages de travaux publics."
F1501,"Monte une structure (charpente et ossature d''ouvrage), en bois ou en matériaux composites, composée d''éléments préfabriqués et le plus souvent pré-assemblés, selon les règles de sécurité. Peut entretenir et réhabiliter des constructions existantes. Peut fabriquer des pièces, des ensembles et des ouvrages en bois et en matériaux composites."
F1502,"Monte une structure métallique définitive (construction de bâtiments, de passerelles, de ponts, ...) ou provisoire (échafaudages, tribunes, chapiteaux, ...) composée d''éléments préfabriqués et le plus souvent pré-assemblés au sol, selon les règles de sécurité."
F1503,"Dessine les plans, usine et assemble les structures de constructions en bois (charpentes, coques de bateaux, ossatures de maisons en bois, ...) manuellement ou à l''aide de machines à bois selon les règles de sécurité.
Peut effectuer la mise en place et le montage final des structures réalisées sur site.
Peut coordonner une équipe et diriger une structure."
F1601,"Réalise des éléments de décoration intérieure ou extérieure (corniches, rosaces, colonnes, ...) en plâtre liquide, staff, stuc, chaux, ...sur des constructions neuves ou en rénovation.
Peut monter des cloisons, poser des éléments d''isolation et effectuer des travaux de restauration.
Peut coordonner une équipe, diriger un service ou une structure."
F1602,"Réalise des travaux d''installation et de mise en service des équipements électriques dans des bâtiments à usage domestique, tertiaire et industriel selon les règles de sécurité.
Peut câbler et raccorder des installations très basse tension (téléphonie, informatique, alarmes, ...).
Peut effectuer des travaux de dépannage et de maintenance."
F1603,"Prépare et pose tous les éléments nécessaires à l''installation complète d''un équipement sanitaire et de chauffage (gaz, fuel, charbon, bois, solaire ...) selon les règles de sécurité. Règle et met en service les installations et procède à leur dépannage et réparation.
Peut monter des systèmes de ventilation et climatisation à usage domestique.
Peut intervenir en installation et en maintenance de piscines."
F1604,"Procède à l''assemblage de panneaux préfabriqués (agglomérés, stratifiés, placoplâtre) selon les règles de sécurité. Effectue le montage et la pose de cloisons, de doublages, de sols ou de faux-plafonds pour corriger les caractéristiques géométriques ou acoustiques d''une pièce, isoler un bâtiment ou agencer un intérieur à des fins diverses (magasins, ...).
Peut agencer des cuisines, des stands et des bâtiments modulaires préfabriqués."
F1605,"Effectue des opérations d''installation de câblages aériens ou souterrains de réseaux de distribution (électricité, signaux, téléphonie, ...) selon les règles de sécurité. Peut entretenir et dépanner les différents réseaux de la très haute tension à la basse tension (transformateur,...).
Peut installer différents types d''éclairages extérieurs (routes, rues, aéroports, monuments, ...)."
F1606,"Réalise les finitions et embellissements des surfaces par application de peinture, résine, vernis, après préparation manuelle ou mécanique des supports. Pose des revêtements muraux (papiers peints, tissus...).
Peut poser des revêtements de sol (moquette, linoléum, ...), des vitres, ..."
F1607,"Prépare et pose toutes fermetures intérieures et extérieures en bois, métal, aluminium, PVC (portes, fenêtres, battants, volets roulants, grilles, murs, stores, clôtures, portes de garages,...) selon les règles de sécurité.
Peut installer et régler des automatismes de fermetures.
Peut entretenir, réparer, remplacer des éléments posés et leur système de fermeture."
F1608,"Revêt toute surface horizontale ou verticale par scellement, collage ou fixation d''éléments rigides (carrelage, faïence, pierres ornementales, ...) selon les règles de sécurité.
Peut installer des parquets et effectuer des travaux d''agencement."
F1609,"Pose et fixe tous revêtements souples (moquettes, caoutchouc, plastiques, ...) sur les sols selon les règles de sécurité. Prépare et corrige préalablement les supports en fonction de la nature du matériau employé."
F1610,"Effectue la préparation et la pose des éléments de couverture (ardoises, tuiles, tôles, ...) pour la mise hors d''eau de tous types de bâtiments, dans le cadre de travaux neufs ou de rénovation, selon les règles de sécurité. Réalise la protection des parties en saillie et pose des systèmes d''évacuation d''eaux pluviales (gouttières, ...). Peut réaliser des travaux simples de charpente. Peut encadrer une équipe."
F1611,"Prépare le support et réalise l''application ou la projection de produits d''étanchéité et de parement pour l''entretien, la rénovation et l''embellissement de façades, murs et terrasses selon les règles de sécurité."
F1612,"Taille et ornemente, dans le cadre de travaux neufs ou de rénovation, des éléments de construction extérieure (parements de fenêtres, pavés, escaliers, ...), intérieure (cheminées, ...) ou de décoration (corniches, fontaines, bancs, ...) en minéraux naturels (grès, granit, calcaire, ardoise ...) selon les règles de sécurité.
Peut sculpter et graver, poser les éléments façonnés sur les chantiers et effectuer des travaux de protection ou restauration de la pierre.
Peut coordonner une équipe ou diriger une structure."
F1613,"Réalise l''étanchéité et l''isolation des toitures, des terrasses, des murs ou des façades d''immeubles d''habitation, de maisons individuelles et de bâtiments industriels, selon les règles de sécurité. Peut réaliser l''isolation thermique d''installations et d''équipements de chauffage, de climatisation et de ventilation par des travaux de calorifugeage. Peut réaliser des opérations de réfection dans le cadre de chantiers de réhabilitation."
F1701,"Procède à la construction de tous ouvrages et bâtiments réalisés au moyen d''un moule et d''armatures métalliques noyées dans une masse de béton, selon les impératifs de mise en oeuvre et les règles de sécurité. Réalise les coffrages et procède à l''assemblage des éléments préfabriqués de constructions en béton, béton armé ou béton précontraint.
Peut encadrer une petite équipe et prendre en charge l''approvisionnement d''un chantier."
F1702,"Réalise tout ou partie des ouvrages liés à la construction ou à la réfection de routes, chaussées (enrobés, ...), voies ferrés et de leurs dépendances (bordures, trottoirs, caniveaux,...) selon les règles de sécurité.
Peut conduire des engins de travaux publics."
F1703,"Construit des murs, des façades, des cloisons, par maçonnage d''éléments portés (parpaings, briques, pierres, carreaux de plâtre, ...) selon les règles de sécurité. Maçonne des structures horizontales (chapes, dalles, ...), réalise différents coffrages et éléments de ferraillage, effectue l''étanchéité et l''isolation des locaux. Peut construire des ouvrages particuliers tels que des piscines, des ouvrages paysagers, des monuments funéraires, ... Peut avoir en charge l''approvisionnement, le rangement et le maintien en propreté du chantier. Peut encadrer une petite équipe."
F1704,"Prépare le terrain, les outils et les matériaux nécessaires à l''exécution de travaux de construction, de réparation ou d''entretien dans le bâtiment, sur les routes ou voiries, dans les ports ou voies navigables, selon les règles de sécurité. Peut réaliser divers travaux simples."
F1705,"Effectue l''installation et la maintenance des réseaux d''eau, d''assainissement, de gaz et de toutes les canalisations de transport et de distribution de fluides selon les règles de sécurité.
Peut encadrer une équipe."
F1706,"Réalise des produits en béton (panneaux, dalles, escaliers, murs, pièces spéciales pour réseaux d''assainissement, ....) sur mesure ou en petites séries.
Intervient à partir d''un moule, à l''aide d''outillage et équipements manuels ou semi automatisés, selon les règles de sécurité et les impératifs de production (délais, quantité, qualité, ...).
Peut réaliser des armatures, transporter et déplacer les produits.
Peut coordonner une équipe."
G1101,"Accueille et renseigne les touristes afin de faciliter leurs conditions de séjour ou de voyage.
Peut gérer les conditions de séjour de la clientèle d''un réceptif touristique (club de vacances, hôtel club, ...).
Peut coordonner l''activité d''une équipe."
G1102,"Elabore ou participe à l''élaboration de projets de valorisation du patrimoine local (aménagement de circuits de visite ou d''infrastructures de loisirs, mise en valeur de sites, ...) afin d''augmenter l''attractivité du territoire et les flux touristiques.
Peut organiser des manifestations évènementielles (festival, spectacles, ...).
Peut diriger une structure."
G1201,"Accompagne des personnes lors de circuits touristiques ou de visites de sites afin de leur faire découvrir des lieux (spécificités géographiques, historiques, culturelles, ...), selon les règles de sécurité des biens et des personnes.
Peut animer des conférences.
Peut effectuer un accompagnement sportif (randonnée équestre, ascension de sommets, ...)."
G1202,"Met en place et anime des activités culturelles, techniques ou ludiques selon les besoins du public et la spécificité de la structure (centre socioculturel, séjour de vacances, maison de retraite, ...).
Peut animer un espace multimédia.
Peut coordonner l''activité d''une équipe."
G1203,"Organise et met en oeuvre des activités récréatives auprès d''enfants ou d''adolescents selon la spécificité de la structure (accueil périscolaire, séjour de vacances, accueil de loisirs, ...).
Peut encadrer un groupe d''enfants ou d''adolescents lors de séjours avec hébergement.
Peut coordonner l''activité d''une équipe.
Peut diriger un accueil collectif de mineurs (ACM)."
G1204,"Organise et anime des activités sportives dans une ou plusieurs disciplines afin de former ou entraîner le public selon ses besoins (loisirs, initiation, compétition, ...) et les règles de sécurité des personnes.
Peut mener des actions de surveillance et de sauvetage en milieu aquatique.
Peut effectuer le suivi et la préparation (physique, technique, ...) de sportifs de haut niveau.
Peut coordonner l''activité d''une équipe et l''encadrement technique d''une discipline ou spécialité sportive
Peut gérer une structure sportive."
G1205,"Accueille, informe et oriente les visiteurs afin de leur faire découvrir les attractions de la structure (jeux électroniques, manèges, équipements sportifs, ...) selon les règles de sécurité des établissements recevant du public.
Peut piloter une attraction.
Peut effectuer la vente de produits.
Peut coordonner l''activité d''une équipe."
G1206,"Organise le déroulement technique d''un jeu (cartes, roulette,...) dans les établissements de jeux (casinos, ...) selon la réglementation des jeux.
Peut superviser plusieurs tables de jeux.
Peut coordonner une équipe."
G1301,"Elabore un produit touristique (circuits, séjours, ...) et coordonne les différentes étapes de réalisation du montage du produit jusqu''à sa mise sur le marché selon les règles de sécurité des biens et des personnes.
Peut être spécialisé sur un type de produit ou une destination.
Peut diriger un service."
G1302,"Adapte et réajuste en temps réel le prix de prestations touristiques (places d''avion, de train, nuitées, location de véhicules, ...) afin de mettre en adéquation l''offre et la demande, avec l''objectif d''optimiser la rentabilité des produits ou des services et la compétitivité de l''entreprise.
Peut coordonner une équipe."
G1303,"Informe et conseille la clientèle sur les caractéristiques de produits touristiques (voyages, locations, prestations, ...) et réalise tout ou partie des opérations de vente (réservation, émission de titres de transport, suivi administratif, ...), selon les objectifs commerciaux de la structure.
Peut réaliser l''assemblage d''une offre touristique à la demande. Peut réaliser des ventes par téléphone.
Peut coordonner une équipe."
G1401,"Supervise et coordonne l''activité des équipes (employés du hall, employés d''étage, serveurs, cuisiniers, ...) d''un établissement hôtelier ou de restauration. Veille à l''application des normes d''hygiène et de sécurité et effectue le suivi commercial et financier de la structure, selon les objectifs définis par la direction.
Peut participer à l''accueil et au service des clients.
Peut établir les tarifs des prestations de l''établissement."
G1402,"Dirige, organise et coordonne l''ensemble des services d''un établissement hôtelier ou de restauration. Définit les règles de fonctionnement et la politique commerciale de l''établissement selon des objectifs de rentabilité, la charte qualité de l''établissement et les normes d''hygiène et de sécurité.
Peut participer à l''accueil et au service des clients."
G1403,"Organise l''activité et gère l''exploitation de structures de loisirs ou d''hébergement touristique dans ses dimensions techniques, commerciales, humaines, financières, ..., dans un objectif de qualité et de rentabilité économique, selon les règles de sécurité des biens et des personnes."
G1404,"Supervise et contrôle la production et le fonctionnement (cuisine, service, achats, ...) d''un ou plusieurs établissements de restauration collective (écoles, hôpitaux, entreprise, ...) selon les règles d''hygiène et de sécurité alimentaires et la charte qualité de l''établissement.
Peut recruter du personnel.
Peut participer à la production culinaire."
G1501,"Réalise les travaux de nettoyage, de remise en ordre et d''entretien des chambres, salles de bains et parties communes d''établissements d''hébergement hôtelier ou touristique (hôtels, bateaux de croisière, ...), selon la charte qualité de l''établissement et les normes d''hygiène et de sécurité.
Peut participer au service des petits-déjeuners.
Peut participer au nettoyage et à l''entretien du linge."
G1502,"Réalise tout ou partie des activités d''un établissement hôtelier ou de tourisme (accueil, services aux clients, entretien des chambres et des locaux, ...), selon la charte qualité de l''établissement et les règles d''hygiène et de sécurité.
Peut effectuer le service en salle pour les repas."
G1503,"Organise et coordonne les activités du personnel d''étage (femmes de chambre, valets de chambre, ...) d''un établissement d''hébergement hôtelier ou touristique (hôtels, bateaux de croisière, ...).
Contrôle la conformité du travail effectué selon la charte qualité de l''établissement et les normes d''hygiène et de sécurité.
Peut participer à des travaux ou des services spécifiques (nettoyage, remise en ordre des chambres, petits-déjeuners, ...)."
G1601,"Définit, met en oeuvre et supervise la production culinaire (élaboration des menus, préparation et dressage des plats, commandes de produits, ...) d''un établissement de restauration, selon les normes d''hygiène et de sécurité alimentaires, la charte qualité de l''établissement et les impératifs budgétaires. Contrôle et coordonne les activités d''une brigade.
Peut créer des recettes culinaires."
G1602,"Prépare et cuisine des mets selon un plan de production culinaire, les règles d''hygiène et de sécurité alimentaires et la charte qualité de l''établissement.
Peut cuisiner un type de plats particulier (desserts, poissons, viandes, ...).
Peut élaborer des plats, des menus."
G1603,"Prépare et assemble des produits (pain, viennoiseries), des plats simples chauds ou froids (sandwichs, salades, glaces, ...) et en effectue la vente selon les règles d''hygiène et de sécurité alimentaires et la charte qualité de l''établissement.
Peut servir les plats à table."
G1604,"Prépare, assemble et cuit des produits culinaires spécifiques (pizzas, crêpes, ...) selon les normes d''hygiène et de sécurité alimentaires et la charte qualité de l''établissement.
Peut effectuer la vente et la livraison des produits préparés."
G1605,"Effectue l''entretien et le nettoyage de la vaisselle, des équipements de cuisine (batterie, chambre froide, sols, ...) dans un restaurant commercial ou de collectivité selon les règles d''hygiène et de sécurité alimentaires et la charte qualité de l''établissement.
Peut préparer les fruits de mer."
G1701,"Organise et coordonne les services du hall (bagagerie, voiturier, ...) et contribue au confort des clients de l''hôtel durant leur séjour (réservation des spectacles, location de voitures, achats divers, ...) selon la charte qualité de l''établissement.
Peut effectuer des réservations de chambres.
Peut recruter et former du personnel pour le hall."
G1702,"Effectue des prestations d''accueil, d''accompagnement et de services (port des bagages, prise en charge des voitures, ...) pour des clients à leur arrivée, leur départ et durant leur séjour dans des hôtels, des restaurants, des établissements de loisirs (casino, discothèque, ...) et veille à la sécurité des locaux et des biens selon la charte qualité de l''établissement.
Peut renseigner les clients sur les services de l''établissement et son environnement."
G1703,"Accueille et renseigne des clients sur les conditions de séjour, les formalités, les prix et les possibilités d''accueil d''un établissement d''hébergement hôtelier ou touristique selon la charte qualité et la politique commerciale de l''établissement.
Effectue les tâches administratives (réservations, planification, traitement du courrier, ...) et comptables (facturation, encaissement, ...) des dossiers clients.
Peut superviser et coordonner les activités du personnel de la réception.
Peut effectuer la promotion de l''établissement d''hébergement hôtelier ou touristique (courriers d''information, prospection, stratégie tarifaire, ...)."
G1801,"Effectue le service au comptoir, en salle, en terrasse, de boissons chaudes ou froides selon la législation relative à la consommation d''alcools. Entretient la verrerie, les équipements du bar et les locaux selon les règles d''hygiène et la réglementation sur les Etablissements Recevant du Public (ERP).
Peut effectuer la vente de produits complémentaires (tabac, tickets de loterie, ...).
Peut assurer l''exploitation d''un bar, d''un café, d''une brasserie."
G1802,"Accueille, place à leur table et conseille les clients d''un restaurant. Supervise le service en salle (organisation, coordination de l''équipe, ...) selon la charte qualité de l''établissement et les normes d''hygiène et de sécurité alimentaires.
Peut effectuer le service des vins et la finition des plats."
G1803,"Effectue les opérations de service des plats (dressage des tables, accueil des clients, prise de commandes, ...) au sein d''un établissement de restauration selon la charte qualité de l''établissement et les règles d''hygiène et de sécurité alimentaires.
Peut effectuer la préparation de plats simples.
Peut coordonner une équipe."
G1804,"Conseille des clients dans leur choix de vins, effectue le service dans des conditions optimales de dégustation et établit la carte des vins et des boissons selon la législation des vins et des alcools.
Peut acheter des vins et des alcools auprès de fournisseurs (producteurs, grossistes, ...) et gérer le budget de la sommellerie.
Peut coordonner une équipe."
H1101,"Réalise et assure l''assistance et le support technique auprès des clients (internes, externes) de l''entreprise en vue de prévenir et de résoudre des problèmes techniques d''exploitation et d''entretien par le traitement de questions et l''apport de solutions techniques selon des impératifs de qualité et de délais.
Peut coordonner une équipe."
H1102,"Réalise le montage, le pilotage et le suivi d''une affaire à forte valeur technique et financière (produits, équipements, installations, prestations, solutions).
Effectue l''interface entre le client et les services de l''entreprise par la prise en charge des aspects commerciaux, techniques et financiers selon la réglementation et les impératifs de délai, coût et qualité.
Peut superviser une équipe d''ingénieurs, de chargés d''affaires industrielles ou une équipe projet."
H1201,"Recherche et met au point des teintes, généralement à partir d''échantillons clients, et établit les formules/recettes pour la réalisation industrielle de teintures/colorations sur diverses matières (tissu, peaux, plastique, ...).
Intervient selon les règles d''hygiène et de sécurité, les normes environnementales et les impératifs de production (coûts, qualité, délais, ...).
Peut teindre les matières (peaux, ...), contrôler les paramètres de teinture, réaliser des tests d''impression et suivre l''état de stock des produits.
Peut coordonner une équipe."
H1202,"Réalise la conception physique de cartes électroniques, de produits électroniques ou électriques et les formalise par des schémas, plans normés de détails, de sous-ensembles ou d''ensembles et de dossiers de définition. Les conçoit à partir de spécifications fonctionnelles, de cahiers des charges et de données techniques établies.
Peut superviser, coordonner un projet ou une équipe."
H1203,"Réalise la conception mécanique et physique de pièces, produits, équipements ou installations et les formalise par des plans normés de détails, de sous-ensembles ou d''ensembles et des dossiers de définition. Intervenir à partir de spécifications fonctionnelles, d''analyses documentaires, de cahiers des charges, de commandes et des besoins client.
Peut coordonner un projet ou une équipe."
H1204,"Conçoit ou améliore l''esthétique (forme, matières, couleurs) et la fonctionnalité de produits (mobilier, objets utilitaires, audiovisuels, ...) selon l''image de l''entreprise, le contexte socioculturel, les contraintes (économiques, de production,...).
Respecte les normes de sécurité, d''environnement et le droit de la propriété industrielle et artistique.
Peut se spécialiser dans le design d''un ou plusieurs produits (ameublement, art de la table, automobile, ...), de services (bornes interactives ...), d''emballages ou effectuer l''identité visuelle du produit ou de l''entreprise.
Peut réaliser la modélisation et les prototypes du produit et participer au suivi de la fabrication du projet.
Peut coordonner une équipe, diriger un service ou une structure."
H1205,"Réalise la mise au point technique et qualitative d''articles (confection textile, maroquinerie, chaussures, ...) par modification ou création de patrons modèles en fonction d''un cahier des charges ou d''un croquis, d''une figurine de style en vue d''une production en série. Intervient selon les normes de fabrication (normalisation des tailles, ...) et les impératifs de production (délais, coût, qualité, ...).
Peut créer de nouveaux modèles, réaliser une étude de style, le patronage (gradation taille par taille) d''articles ou réaliser des prototypes.
Peut coordonner une équipe."
H1206,"Conçoit et finalise de nouveaux produits ou de nouvelles technologies. Fait évoluer ceux déjà existants, dans un objectif de développement commercial et d''innovation en milieu industriel.
Définit des moyens, méthodes et techniques de valorisation et de mise en oeuvre des résultats de recherche.
Peut superviser et coordonner un projet, une équipe, un service ou un département."
H1207,"Conçoit et finalise la documentation technique (notices, plaquettes, manuels, catalogues, bordereaux, ...), associée à des produits, des appareils, des équipements ou des procédés techniques, dans un objectif de déclinaison et d''utilisation.
Effectue le suivi de cohérence (vocabulaire spécifique, ...) de l''ensemble de la documentation technique.
Peut intervenir dans un domaine ou sur un type de produit particulier en fonction du niveau de technicité requis par l''objet de sa rédaction.
Peut encadrer une équipe de rédacteurs."
H1208,"Réalise des études de développement d''installations ou de systèmes industriels automatisés, sur des applications de type « contrôle-commande », de supervision courants faibles (automates programmables, terminaux hommes-machines, ...) ou courants forts (électronique de puissance, ...).
Effectue des réglages, des mises au point ou des mises en service d''installations.
Peut modifier des équipements selon l''évolution des normes.
Peut coordonner une équipe."
H1209,"Réalise des études et des essais en électronique dans le cadre du développement et de l''évolution de composants, de sous-ensembles, d''ensembles électroniques ou électriques.
Peut coordonner une équipe."
H1210,"Prépare des expérimentations, tests et essais. Effectue des mesures et des analyses de caractéristiques biologiques, chimiques ou physiques. Réalise une mise au point de produits, de techniques ou d''appareillages au moyen de matériel de laboratoire. Intervient selon un protocole de recherche et de développement.
Peut coordonner une équipe."
H1301,"Réalise des inspections et des vérifications techniques et normatives dans un objectif de suivi, de mise en conformité réglementaire et de fiabilisation des équipements, matériels, installations industrielles et bâtiments recevant du public.
Peut coordonner une équipe."
H1302,"Définit la politique de sécurité (sécurité au travail, conditions de travail, protection de l''environnement), la met en place et en assure le suivi selon les normes et la réglementation Hygiène, Sécurité et Environnement.
Peut coordonner une équipe.
Peut diriger un service."
H1303,"Suit et vérifie la déclinaison des règles d''hygiène, sécurité et environnement auprès des équipes et des installations par rapport à la réglementation et aux normes.
Identifie des évolutions de prévention des risques (consignes, méthodes, moyens de protection,...) et suit leur mise en oeuvre dans un objectif de protection et de réduction des impacts et des risques de l''activité industrielle sur les personnes, les biens et l''environnement.
Peut coordonner une équipe."
H1401,"Organise et supervise l''ordonnancement, la planification et la gestion de production, dans un objectif d''optimisation et de coordination de flux de produits et d''information, selon les besoins et les impératifs de coûts, délais et qualité.
Peut diriger une équipe ou un service et en gérer le budget."
H1402,"Conçoit, optimise et organise l''ensemble des solutions techniques (faisabilité, capacité, fiabilité, rentabilité) et des méthodes de production/fabrication de biens ou de produits, selon les impératifs de productivité et de qualité. Peut participer à la conception de nouveaux produits ou de leur industrialisation.
Peut encadrer une équipe ou un service et en gérer le budget."
H1403,"Planifie et gère les flux d''approvisionnement et les délais de fabrication (matières premières, produits, informations, ...) amont et aval à la production, en fonction des commandes et des impératifs de l''entreprise.
Peut coordonner une équipe (approvisionnement, stock, manutention, ...).
Peut coordonner les flux d''information interne et externe."
H1404,"Etudie et optimise des solutions techniques de production/fabrication de biens ou de prestations techniques, à partir de dossiers de définition fonctionnels.
Les formalise sous forme de documents techniques selon les normes réglementaires et les impératifs de qualité, coût, délais.
Détermine, et fait évoluer des opérations techniques, des pratiques et des procédés de réalisation (process et produits)."
H1501,"Organise et supervise les activités de mesure et d''analyse de conformité et de qualité (analyse biologique, chimique ou physique de matière ou de produit). Intervient selon un protocole de contrôle et les règles d''hygiène, sécurité, environnement.
Peut coordonner une équipe ou diriger un service et en gérer le budget."
H1502,"Organise et coordonne la mise en place de la qualité des produits et services et/ou leur mise en conformité réglementaire, sur l''ensemble des process et structures de l''entreprise industrielle.
Conçoit et met en oeuvre des méthodes et outils à disposition des services de l''entreprise pour le maintien et l''évolution de la qualité.
Peut intervenir sur la libéralisation de produits comportant des risques pour les personnes et les biens (agroalimentaire, chimie, aéronautique, industrie de santé, ...).
Peut coordonner des démarches hygiène, sécurité et environnement.
Peut coordonner une équipe ou diriger un service et en gérer le budget."
H1503,"Réalise des mesures et des analyses de conformité (normes, taux, ...) sur la qualité biologique, chimique ou physique, de matières ou de produits, au moyen de matériel de laboratoire, selon un protocole de contrôle et les règles d''hygiène, sécurité, environnement."
H1504,"Procède au contrôle ou aux essais de produits électriques ou électroniques dans le cadre de production unitaire ou de série, d''un service après-vente, ... selon les règles de sécurité et les impératifs d''assurance-qualité.
Réalise le dépannage ou la mise en conformité des produits.
Peut définir les procédures et les méthodes de tests et réaliser les analyses de non-conformité des produits.
Peut coordonner une équipe."
H1505,"Compose des arômes, des fragrances destinés à des produits alimentaires, cosmétiques (gels douche, lait pour le corps, ...) ou de parfumerie et en effectue l''analyse chimique et sensorielle (gustative et olfactive). Intervient selon les normes de fabrication (toxicité, tolérance, ...) et les attentes des consommateurs.
Peut former aux techniques de dégustation et d''olfaction.
Peut organiser des tests d''évaluation sensorielle de produits de consommation."
H1506,"Contrôle la conformité d''application des procédures qualité de fabrication de produits industriels. Renseigne les supports de suivi et de traçabilité des contrôles et des produits en fonction des normes qualité, cahiers des charges, commandes clients."
H2101,"Réalise les opérations d''abattage d''animaux, de découpe (désossage, parage, ...) de viandes selon la réglementation des Services Vétérinaires et les règles d''hygiène et de sécurité alimentaires.
Peut effectuer des opérations de transformation des viandes (salaisons, conserves, plats cuisinés, ...).
Peut coordonner une équipe."
H2102,"Surveille et régule une machine ou une ligne automatisée de transformation de produits alimentaires selon les règles d''hygiène et de sécurité et les impératifs de production (qualité, coûts, délais, ...). Effectue des contrôles de conformité des matières et des produits en cours de production.
Peut réaliser des opérations manuelles liées au produit (garnissage, ...), monter et régler les équipements et effectuer la maintenance de premier niveau.
Peut coordonner une équipe (opérateurs, conducteurs, ...)."
H2201,"Assemble en série des ouvrages ou des éléments d''ouvrages en bois et matériaux associés (sièges, éléments de charpente, panneaux, placages, ...) à partir de pièces usinées ou débitées selon les règles de sécurité et les impératifs de production (qualité, coûts, délais, ...).
Peut réaliser des opérations d''usinage.
Peut coordonner une équipe."
H2202,"Règle, surveille et régule une ou plusieurs machines (conventionnelles, à commande numérique ou automatisées) de fabrication (usinage, montage, finition, ...) de produits en bois et matériaux associés (meubles, charpente, ...).
Intervient selon les règles de sécurité et les impératifs de production (qualité, coûts, délais, ...).
Effectue les contrôles de conformité des produits (qualité, quantité, ...) et assure la maintenance de premier niveau des machines et équipements.
Peut coordonner une équipe."
H2203,"Règle, surveille et régule une ou plusieurs machine(s)/installation(s) simple(s) ou complexe(s) de fabrication (préparation des matières, conformation, pressage, ...) de panneaux à base de bois (agglomérés, contre-plaqués, ...) selon les règles de sécurité et les impératifs de production (qualité, coûts, délais, ...).
Effectue la maintenance de premier niveau des machines et des équipements.
Peut coordonner une équipe."
H2204,"Organise l''activité d''une ou de plusieurs équipe(s) d''opérateurs et de conducteurs de machines de transformation du bois et effectue le suivi de la fabrication selon les règles de sécurité et les impératifs de production (quantités, délais, qualité, ...).
Peut contribuer à la mise en place d''actions d''optimisation de la production (évolution des modes opératoires, des équipements, ...)."
