metier,GFE,domaine_ONISEP,rome_code,sous_domaine_ONISEP,description
climatologue,"T : Environnement, nettoyage, sécurité",sciences,K2402,sciences de la Terre,"Contrairement au météorologue qui étudie le temps qu'il fait au jour le jour, le climatologue étudie l'évolution du climat sur le long terme. Pour cela, il croise et interprète de nombreuses données (précipitations, pression atmosphérique, vent, température de l'air ou des océans, épaisseur de la glace, etc.) grâce à des programmes informatiques spécifiques. 
Ce scientifique de haut niveau travaille souvent en laboratoire de recherche mais les entreprises privées (comme les compagnies d'assurances) peuvent également le recruter. Il arrive qu'il se déplace, notamment lors de catastrophes naturelles (coulées de boue, tsunami, inondations, etc.), pour recueillir des données et comprendre ce qui s'est passé, mais surtout anticiper de tels phénomènes. 
Sa carrière pouvant se passer en partie à l'étranger, la maîtrise de l'anglais est donc importante. Il doit faire preuve d'un esprit d'analyse et de synthèse, et être capable de mettre le résultat de ses recherches au niveau de ses interlocuteurs."
"ingénieur / ingénieure fluides, énergies, réseaux, environnement","T : Environnement, nettoyage, sécurité",environnement - énergies - propreté,H1206,physique,"L'ingénieur fluides, énergies, réseaux, environnement veille à la qualité de l'air, au traitement des eaux, à la valorisation des déchets, dans un contexte industriel. Pour cet ingénieur, la production d'énergie rime avec innovation. Il met au point des systèmes techniques qui font circuler l'eau (glacée, sous forme de vapeur...), l'air (chaud, froid, conditionné) ou le gaz pour limiter la facture énergétique. Il est parfois chargé de l'exploitation de ces systèmes. Il supervise alors une unité de valorisation énergétique : production de chauffage à partir de la chaleur générée par une usine d'incinération, de biogaz à partir des matières organiques en décomposition dans une décharge. Dans le secteur du bâtiment, il apporte aussi son expertise en termes d'efficacité énergétique. Il conseille les maîtres d'oeuvre pour construire des logements basse consommation. Il peut être employé dans divers secteurs industriels (principalement l'énergie et le bâtiment)."
consultant / consultante informatique,"P : Gestion et traitement de l'information (informatique, statistique, documentation)","informatique, internet",M1806,informatique (généralités),"Expert extérieur à l'entreprise, le consultant informatique apporte ses connaissances à des clients désireux de faire évoluer leur système. Le consultant propose des solutions techniques et organisationnelles dont il suit ensuite la mise en place. Son travail n'est pas routinier car chaque client a ses propres problématiques et son mode de fonctionnement. Il doit, en revanche, s'adapter rapidement aux nouveaux environnements, nouveaux interlocuteurs, nouvelles méthodes, etc. et être un excellent communicant pour pouvoir comprendre les besoins de chaque client et lui proposer la meilleure solution qui doit être faite sur mesure. Les besoins en consultants restent constants dans les ESN (entreprises de services du numérique), surtout pour les spécialistes d'un domaine (architecture réseau, e-commerce, sécurité, etc.) ou d'un secteur professionnel (banque, industrie, services juridiques, administration...). Une double compétence (par exemple, en gestion, marketing, droit, etc.) est très appréciée par les employeurs. Au fur et à mesure de sa carrière, le consultant se voit confier des missions de plus en plus importantes. Il peut ensuite encadrer une équipe de consultants juniors ou s'orienter vers le commercial. Il peut également choisir de se mettre à son compte."
ingénieur / ingénieure mathématicien /mathématicienne,"P : Gestion et traitement de l'information (informatique, statistique, documentation)",sciences,K2402,mathématiques,"À l'inverse du mathématicien qui ne travaille que dans l'abstraction, l'ingénieur mathématicien transcrit en équations mathématiques des problèmes très concrets auxquels il doit apporter une solution. Il peut ainsi s'atteler à l'amélioration d'un processus de production, à des modélisations météorologiques, à la conception de produits financiers complexes ou encore à des études cliniques. Il travaille en équipe pluridisciplinaire, en société de conseil ou en entreprise, dans tous les secteurs d'activité, de la banque à l'industrie en passant par l'environnement. Sa formation de niveau ingénieur lui permet d'aller de l'abstraction à la réalité et de comprendre les enjeux de son employeur.
Ce métier est accessible aux titulaires d'un bac + 5. Les spécialisations en statistique conduisent plutôt vers les secteurs de la finance, du biomédical, du contrôle qualité ou encore de la biologie par exemple, alors que les spécialisations numériques mèneront plus volontiers vers la climatologie, l'aéronautique, le secteur pétrolier, etc."
gestionnaire actif/passif,"Q : Commerce, gestion, finances",banque - assurances - immobilier,C1105,assurances,"Entre la gestion des risques et le pilotage stratégique de l'entreprise, le gestionnaire actif/passif assure l'analyse et la maîtrise des risques des compagnies d'assurances. Analyse de données, modélisation des variables et suivi de l'évolution des réglementations et des facteurs économiques, tant sur le plan national qu'international... son quotidien est varié. Au coeur de son métier : l'équilibre entre les actifs que sont les différents placements de l'entreprise (actions, obligations, devises...) et les passifs que sont les sommes potentiellement dues aux assurés en cas de sinistre. 
Le gestionnaire actif/passif doit maîtriser la typologie des risques pour pouvoir faire des modélisations, mais également les techniques de gestion financière et actuarielle. Il a de plus de très bonnes connaissances en économie et en marchés financiers. L'informatique et les mathématiques financières n'ont aucun secret pour lui. Ce métier requiert souvent une première expérience professionnelle préalable."
directeur / directrice de golf,"S : Hôtellerie, tourisme, loisirs",santé - social - sport,G1403,sport,"Le directeur de golf connaît parfaitement les caractéristiques de son terrain de golf : tee, green, fairway n'ont pas de secrets pour lui. C'est un professionnel à double compétence : golf et gestion. Il assure le suivi comptable, juridique et financier. Il doit maîtriser les aspects commerciaux pour que le golf soit rentable. Véritable pilier du golf, c'est lui qui assure les relations publiques destinées à donner une image positive du golf pour attirer et fidéliser la clientèle. En tant que chef du personnel, à lui de manager son équipe. Pour mener à bien sa mission, le directeur de golf a le sens de la communication. Recruté et employé par des petites associations sportives, par des collectivités territoriales ou par des grosses chaînes de golf, le directeur de golf ne compte pas ses heures et doit être particulièrement disponible."
géologue minier / minière,"T : Environnement, nettoyage, sécurité",sciences,F1105,sciences de la Terre,"Grâce à ses travaux de recherche, ses observations et ses analyses de terrain, le géologue minier est capable de définir le périmètre d'exploitation du sous-sol d'une région repérée par le géologue explorateur. Grâce à des études plus poussées, il donne une estimation des ressources enfouies. Sur le site de production, il veille ensuite à la qualité et au renouvellement des matières premières d'origine minérale (métaux précieux ou pierres) extraites des entrailles de la Terre, et s'assure de la sécurité des travailleurs. Il rend compte à la direction à qui il apporte les éléments nécessaires pour prendre des décisions stratégiques, et travaille en équipe à la fois pluridisciplinaire et pluriculturelle, souvent à l'autre bout du monde. Pour cela, en plus de compétences techniques indispensables, il doit maîtriser au moins l'anglais."
ingénieur analogicien / ingénieure analogicienne,"H : Electricité, énergie, électronique",électricité - électronique - robotique,H1206,développement - programmation -  logiciel,"L'analogicien est un ingénieur en électronique très spécialisé, et donc très recherché. Sa mission : élaborer des circuits intégrés, des cartes ou des équipements (antennes, alimentation, capteurs...) permettant de traiter les signaux analogiques. À partir d'un cahier des charges détaillant les fonctions de chaque élément à concevoir, et les exigences de coût, de qualité et de délais, il élabore des circuits intégrés (antennes, alimentation, capteurs...). Il réalise des schémas préalables et intervient dans la phase de tests avec des outils de mesure (oscilloscope, synthétiseur...) ou des logiciels de simulation. Il travaille en bureau d'études, au sein d'une équipe, ou dans une entreprise spécialisée en conception électronique : fabrication de systèmes de transmission, de puces électroniques... Il est aussi présent dans l'industrie automobile, l'aéronautique, l'industrie de l'armement, le secteur médical... "
responsable du soutien logistique intégré,"H : Electricité, énergie, électronique",électricité - électronique - robotique,H1401,logistique,"Le responsable du soutien logistique intégré intervient dès la phase de conception d'un produit (un radar, par exemple) ou d'un système électronique. Son rôle : prévoir son entretien, les moyens de le réparer, ainsi que les modes d'emploi et les formations pour les utilisateurs. Ce professionnel fait aussi le lien entre les clients, les utilisateurs et les équipes de développement. C'est un communicant, un négociateur... un arbitre aussi. Il oriente le travail des équipes de développement, par exemple pour choisir des matériaux résistants au climat, pour placer des voyants de contrôle et des outils de diagnostic de pannes à des endroits facilement accessibles... Il doit encore penser au conditionnement (emballage), au stockage et au transport des matériels et des pièces de rechange, sans oublier la maintenance, de plus en plus prise en compte dès la conception d'un équipement industriel.
 D'abord apparu dans les domaines de l'aéronautique et du spatial, le soutien logistique intégré s'est développé dans de nombreux autres secteurs : le transport ferroviaire et maritime, la production d'énergie (pétrole, nucléaire...), les télécommunications, la défense, la sécurité, l'aviation civile, les services hospitaliers, etc. "
ingénieur / ingénieure chimiste en développement analytique,"J : Transformation des matériaux, procédés (biologie, chimie, physique)",sciences,H2502,chimie,"Pour qu'une nouvelle molécule soit introduite dans un composant chimique, l'ingénieur chimiste en développement analytique travaille en laboratoire sur des échantillons, fait des tests et des comparaisons, puis rédige, sous forme de rapport, le compte rendu de ses résultats. Les analyses et manipulations qu'il effectue répondent à une commande ou s'inscrivent dans un projet de recherche. Il peut travailler pour des grands groupes industriels spécialisés dans la diététique, les cosmétiques (parfums, produits de beauté) ou le paramédical. Il occupe alors un poste de cadre au service R&D (recherche et développement) comme chef de projet. Il peut être amené à former des techniciens de laboratoire à des nouvelles techniques d'analyse ou à l'utilisation de nouveaux matériels. Il doit veiller à la qualité et à la fiabilité des résultats fournis, en étant rigoureux et exigeant lors de la réalisation des analyses. La contrainte majeure réside dans l'obligation de respecter les délais imposés pour la remise des premiers résultats."
chargé / chargée d'affaires en génie mécanique,F : Mécanique,mécanique,H1102,mécanique (généralités),"Le chargé d'affaires en génie mécanique commercialise des produits de l'industrie, qu'il s'agisse d'une machine-outil ou de produits beaucoup plus complexes qu'il peut adapter aux besoins spécifiques de son client. Grâce à sa double compétence technique et commerciale, il intervient depuis la prospection des clients jusqu'au service après-vente, en passant par la négociation du contrat avec le client ou la supervision des études de faisabilité. Il a la responsabilité d'une zone géographique et d'un ou plusieurs produits. Il se déplace beaucoup, parfois à l'étranger, et une partie de sa rémunération dépend de ses résultats. 
Des débouchés existent, que ce soit dans les PME (petites et moyennes entreprises), les grands groupes, les bureaux d'études ou encore dans les bureaux d'ingénierie. Ce métier est accessible à partir d'un niveau bac + 2 commercial par exemple, mais les employeurs demandent souvent qu'il soit complété d'une première expérience de vente."
microbiologiste,"R : Santé, social, soins personnels",sciences,K2402,biologie,"L'observation et la recherche sont au coeur de son métier. Le microbiologiste étudie les micro-organismes vivants (bactéries, levures, moisissures, virus, microbes...). Il analyse leur fonctionnement, étudie leurs interactions entre eux et avec l'environnement. Ses découvertes, qui passent par une observation attentive au microscope, ont des applications concrètes. Bactériologiste, il travaille à identifier les bactéries responsables d'une maladie et aide à trouver des médicaments pour la guérir. Spécialisé dans la biotechnologie, il utilise des micro-organismes pour traiter la pollution atmosphérique, trouver des bactéries capables de nettoyer des sites pollués aux hydrocarbures, rechercher les ennemis naturels de certains parasites pour limiter l'utilisation des pesticides... Il exerce soit dans la recherche publique, soit dans le monde industriel. Il travaille au sein d'un laboratoire, entouré d'une équipe de techniciens. Les secteurs d'activité concernés sont l'industrie pharmaceutique et cosmétique, l'industrie agroalimentaire, l'énergie, l'environnement... Il maîtrise l'anglais scientifique et rend compte de ses travaux. Il a suivi un cursus spécialisé après une licence de biologie."
traffic manager,"U : Communication, médias","commerce, marketing, vente",E1402,marketing - vente,"Expert d'Internet et du marketing, le traffic manager imagine, met en place et suit les résultats d'une campagne publicitaire sur Internet. Ses objectifs : donner plus de visibilité à une entreprise, faire la promotion d'un produit ou d'un service. Sa bonne connaissance du secteur et des habitudes des internautes lui permet de conseiller les meilleurs emplacements à ses clients (ou à son patron) à qui il présente régulièrement les résultats de son travail (sous forme de tableaux de bord, de chiffres de fréquentation, de statistiques...). Pour cela, il scrute les clics des utilisateurs, le temps passé sur certaines pages, les mots tapés dans les moteurs de recherche, etc.
Il travaille en agence ou en entreprise. Pour exercer, il est souvent demandé une première expérience dans le secteur du Web (en tant que référenceur, par exemple) ou dans le marketing. Les formations pour accéder à ce métier sont variées."
consultant / consultante SaaS,"P : Gestion et traitement de l'information (informatique, statistique, documentation)","informatique, internet",M1806,informatique (généralités),"Le consultant SaaS (Software as a Service ou logiciel en tant que service) conseille et accompagne ses clients dans le transfert de leurs données informatiques vers des serveurs externes à l'entreprise (appelés le cloud). Ses conseils portent à la fois sur l'aspect technique et organisationnel de l'opération. Il intervient donc depuis l'analyse de la situation actuelle jusqu'à la formation des utilisateurs, en passant par le choix de la solution la plus adéquate, la conduite du projet et le transfert des données. Tout au long du processus, il doit s'assurer de la sécurité des données, adapter les logiciels et répondre aux questions des utilisateurs. Proche du chef de projet, souvent appuyé par un ou plusieurs développeurs et l'administrateur réseaux, il peut être consultant interne ou externe à l'entreprise. 
L'accès au métier de consultant SaaS demande généralement une première expérience réussie dans le domaine de l'informatique. Les recruteurs privilégient souvent les diplômés à bac + 5 pour ce poste en fort développement."
aide-chimiste,"J : Transformation des matériaux, procédés (biologie, chimie, physique)",sciences,H1503,chimie,"L'aide-chimiste exécute différents types d'analyses et de contrôles en laboratoire. Il peut réaliser dosages, solutions et réactions chimiques. Il travaille en équipe, aux côtés des techniciens de laboratoire, qu'il assiste. Il s'assure de la bonne marche des appareils utilisés. Il transmet les résultats d'analyse obtenus, renseigne des documents de suivi et s'occupe de l'entretien du poste de préparation d'analyses. Il exerce surtout dans l'industrie chimique : en chimie lourde (pétrochimie), en chimie fine (peintures, laques) dans l'agroalimentaire, la plasturgie, l'industrie cosmétique ou encore pharmaceutique. Il doit faire preuve de rigueur lors de ses manipulations."
chargé / chargée de projet événementiel,"U : Communication, médias","information-communication, audiovisuel",E1103,communication,"Congrès, soirées de gala, festivals, salons professionnels, rencontres sportives, petits déjeuners d'entreprise ou lancement du nouveau smartphone… c'est le chargé de projet événementiel qui conçoit ces opérations de communication pour son entreprise ou pour un client. Il en réalise la mise en œuvre et en négocie le budget. Au quotidien, il se partage entre son agence ou son service et ses activités à l'extérieur. Ses déplacements sont fréquents et ses horaires plutôt irréguliers. La plupart des chefs de projet événementiel travaillent en agence de communication événementielle où ils sont rattachés au directeur. Ils peuvent aussi exercer en entreprise, au sein de la direction communication. Ses qualités ? Créativité, bon relationnel et talent rédactionnel. De la rigueur et de la réactivité sont indispensables, car le budget doit être respecté et l'événement, être impeccable. Après plusieurs années d'expérience, il peut évoluer vers le poste de responsable communication, directeur de la communication ou chef d'agence. "
hydrogéologue,"T : Environnement, nettoyage, sécurité",sciences,F1105,sciences de la Terre,"L'hydrogéologue recherche, étudie mais aussi surveille les nappes phréatiques et les poches d'eaux souterraines susceptibles d'être exploitées pour l'approvisionnement en eau potable, l'irrigation agricole ou la géothermie, afin de les préserver et de lutter contre les prélèvements excessifs. Il identifie les sites de captage et veille à la non-pollution des nappes avant et pendant les travaux de forage. Ce scientifique très spécialisé travaille pour un établissement public, une collectivité territoriale, une entreprise pétrolière ou minière. Il alterne entre le terrain et le bureau pour l'analyse de données et la rédaction de rapports. Selon les cas, il travaille seul ou en équipe pluridisciplinaire. Il est souvent amené à se déplacer, parfois à l'étranger, au gré des missions et des chantiers. La maîtrise de l'anglais est indispensable pour ce professionnel à l'esprit analytique.Environ 1 millier d'hydrogéologues exercent en France. "
ingénieur / ingénieure analyste de l'air,"T : Environnement, nettoyage, sécurité",environnement - énergies - propreté,H1501,chimie,"L'ingénieur analyste de l'air surveille les particules que nous respirons. Lorsqu'il détecte une pollution importante, il en informe les pouvoirs publics et propose des solutions pour améliorer la qualité de l'air. Particules fines, monoxyde de carbone, ozone... présentent des dangers pour la santé et nécessitent la mise en place de mesures spécifiques (la circulation alternée, par exemple...) qui sont préconisées par l'ingénieur analyste de l'air. Il met en place des modèles informatiques pour prévoir la pollution sur le long terme et envisage différents scénarios pour réduire les émissions de polluants. Il encadre une équipe de techniciens, chargés de recueillir les données des capteurs. 
Rigoureux, il dispose d'un solide bagage scientifique en chimie pour interpréter correctement les résultats de ses études d'impact. Il exerce aussi un rôle de sensibilisation auprès du public en animant des réunions d'information. Dans l'industrie, il veille à ce que son entreprise ne dépasse pas les normes environnementales fixées en matière de pollution atmosphérique. Dans la recherche, il s'attache à mieux comprendre et réduire la pollution de l'air sur le long terme."
ingénieur / ingénieure de la police technique et scientifique,"T : Environnement, nettoyage, sécurité","armée, sécurité",K2402,chimie,"L'ingénieur de la PTS (police technique et scientifique) travaille essentiellement en laboratoire, ses déplacements sur les lieux du délit étant rares. Affecté au service balistique, biologie, documents-traces (analyse de faux documents et écritures), incendies-explosions, physique-chimie-géologie (étude des peintures, résidus de tirs, verre, et.), stupéfiants ou toxicologie, il dirige une équipe de techniciens et d'agents spécialisés (recrutés parmi les gardiens de la paix) chargée, par exemple, d'analyser les traces relevées sur un adhésif ayant servi à confectionner une bombe, de décrypter l'ADN d'un cheveu appartenant à l'auteur d'un viol, ou encore de réaliser des portraits-robots informatisés pour interpeler l'auteur d'un braquage de banque. Ses enquêtes concernent aussi bien le terrorisme et le crime organisé que la petite et moyenne délinquance. Son champ d'action ? La France bien sûr, mais aussi les actions de coopération internationale dans le cadre d'Interpol. Signe de cette collaboration élargie, la police scientifique est au service de la Police nationale, et aussi de la gendarmerie, des substituts du procureur et des juges d'instruction."
yield manager,"Q : Commerce, gestion, finances","commerce, marketing, vente",G1302,marketing - vente,"Le yield manager a pour mission d'optimiser le chiffre d'affaires de son entreprise, le taux de remplissage (de l'avion, du train, de l'hôtel, de la salle de spectacle, etc.) et le prix moyen du service offert en s'ajustant à la demande qui évolue sans cesse. Pour cela, il analyse un certain nombre de données fixes (nombre de réservations l'année précédente, typologie de la clientèle, par exemple) et variables (prix de la concurrence, conditions climatiques, actualité, habitudes de réservation...) afin d'adapter son offre et ses tarifs au plus juste, ainsi que les conditions de vente associées (possibilité de poser une option ou non, d'annuler, de changer les dates...). Il suit en permanence l'évolution des réservations et en rend compte au cours de réunions. Bons débouchés pour ce métier encore jeune.
Théoriquement, le métier est accessible à partir de bac + 2, mais à condition d'avoir quelques années d'expérience du terrain. Les employeurs sont plus nombreux à recruter à bac + 3 ou + 5."
économètre statisticien / statisticienne,"P : Gestion et traitement de l'information (informatique, statistique, documentation)",économie - droit - politique,M1403,mathématiques,"Scientifique de haut niveau, l'économètre statisticien effectue un traitement mathématique et statistique de données économiques. Son objectif : fournir à ses employeurs (banques, assurances, entreprises industrielles et commerciales, PME, Banque centrale européenne, Inra, CNRS, Insee, sociétés de conseil, ministères, etc.) des éléments fiables et quantifiés afin qu'ils puissent prendre des décisions capables d'influencer des choix de marchés, d'implantation d'entreprises, voire de mise en place de politiques économiques. 
Quel que soit le secteur dans lequel il travaille, l'économètre statisticien simule des process, crée des outils de modélisation, anticipe, repère et planifie les tendances et les fluctuations futures, en vue de réaliser des applications économiques et financières, tant au niveau national qu'international, en s'appuyant sur les mathématiques et les statistiques. L'économètre statisticien commence souvent sa carrière en cabinet spécialisé avant d'être embauché par un grand groupe."
ingénieur / ingénieure logiciel,"P : Gestion et traitement de l'information (informatique, statistique, documentation)","informatique, internet",M1805,développement - programmation -  logiciel,"Créer des logiciels de comptabilité, de gestion des stocks ou de traitement des images destinés aux entreprises ou aux administrations, c'est le rôle de l'ingénieur logiciel. Un travail qui débute par l'analyse et la description des tâches à exécuter par l'ordinateur. Suivront la rédaction d'un cahier des charges et la réalisation d'une maquette. Après la traduction du projet en langage machine, le logiciel sera ensuite réalisé, avec la participation de développeurs.
Travaillant généralement pour une ESN (entreprise de services du numérique), une société de conseil en informatique, un éditeur ou un constructeur de logiciels par exemple, l'ingénieur logiciel sait passer d'un langage informatique à un autre et trouver les solutions à des problèmes nouveaux. En fonction de son employeur, il peut être spécialisé dans un domaine d'application de l'informatique : informatique de gestion, informatique embarquée ou industrielle, etc."
inséminateur / inséminatrice,A : Agriculture,"agriculture, animaux",A1303,soins aux animaux,"Spécialiste de la reproduction d'un type d'élevage, l'inséminateur conseille l'éleveur et l'aide à planifier, selon les besoins de l'exploitation, les périodes de fécondation et le rythme des naissances.
Le plus souvent employé dans un centre agréé par le ministère chargé de l'Agriculture, l'inséminateur surveille ou effectue lui-même les inséminations. C'est un professionnel recherché.
Possibilités d'évolution professionnelle : chef d'équipe, contrôleur de performances ou ingénieur sélectionneur."
médecin de secours en montagne,"R : Santé, social, soins personnels",santé - social - sport,J1102,médical,"À la suite d'un appel au 15 ou au 112, l'équipe de secours en montagne embarque à bord de l'hélicoptère. Déposé avec les sauveteurs près des victimes, le médecin de secours en montagne intervient avec sa trousse médicale réduite. Ici, un randonneur est pris d'un malaise cardiaque sur un sentier et risque l'infarctus... Là, un alpiniste s'est fracturé la jambe lors d'une chute : après auscultation, le médecin procède à une anesthésie et immobilise le membre pour déplacer la victime. Dans ces deux cas, il décide de l'évacuation par hélitreuillage.
Médecin urgentiste, ce médecin a une grande expérience du milieu montagnard et des sports de montagne (alpinisme, ski de randonnée...). Participant à des exercices réguliers en secours, il maintient sa condition physique et son niveau technique. Sa qualification spécifique en "" médecine d'urgence en montagne "" lui permet de s'intégrer à l'équipe héliportée et d'être autonome en terrain dangereux, sur le plan technique et le plan médical.
Le médecin de secours en montagne tient une permanence sur une base héliportée, médicale ou spécialisée. Celle-ci fonctionne 24 heures sur 24, toute l'année ou en saison. Jour, nuit ou week-end, son activité n'est jamais programmée."
critique d'art,"U : Communication, médias","arts, culture, artisanat",E1106,histoire,"Bien plus qu'un simple avis, la critique d'art consiste à rédiger un texte qui démontre en quoi une oeuvre est, ou non, intéressante. Pour cela, son auteur doit maîtriser l'histoire de l'art mais aussi l'actualité artistique, fréquenter les lieux culturels et privilégier les contacts avec les artistes.
Selon les partenaires avec lesquels il travaille, son activité d'écriture peut prendre différentes formes et s'adresser à un public varié. Il doit donc posséder certaines compétences rédactionnelles pour s'adapter à chaque situation. Indépendant et autonome, il gère son travail et son emploi du temps.
Devenir critique d'art est extrêmement difficile, autant que d'acquérir une notoriété. Aucune formation n'y prépare ; l'accès à la profession est donc souvent une question de chance, de rencontres et de réseau professionnel. Cependant, avoir des connaissances pointues en art et histoire de l'art est indispensable pour exercer ce métier. Il est donc vivement recommandé de suivre un parcours en histoire de l'art. Le métier, précaire, peut être une activité secondaire pour les enseignants d'art. "
nivoculteur / nivocultrice,"J : Transformation des matériaux, procédés (biologie, chimie, physique)","matières premières, fabrication, industries",I1304,physique,"Au sein d'un domaine skiable, le nivoculteur est chargé de produire la neige de culture qui permet à la station d'avoir un taux d'enneigement suffisant et de qualité pour répondre aux attentes des skieurs. Pour cela, il anticipe et planifie chaque étape tout au long de l'année : novembre-décembre pour la fabrication de la neige ; l'été pour la maintenance des équipements et matériels. Des compétences en informatique, mécanique, électricité, électrotechnique, physique... sont nécessaires."
community manager,"U : Communication, médias","commerce, marketing, vente",E1101,communication,"Le community manager doit fédérer le plus possible d'internautes via les forums, les réseaux sociaux et professionnels. Expert de la Toile, il est en veille permanente pour gérer l'image de son client ou de son entreprise sur le Net et rapprocher la marque du consommateur. Pour cela, il anime des forums, poste des vidéos, alimente la page Facebook ou répond aux questions posées sur le site Internet de l'entreprise. Il veille à ce que chacun respecte les règles de bonne conduite au sein de la communauté, doit être réactif pour éviter que des propos négatifs apparaissent et aussi créatif pour se différencier des concurrents. Toujours connecté, il est à l'aise avec l'univers de l'Internet. "
chef / cheffe de projet communication digitale,"U : Communication, médias","commerce, marketing, vente",E1103,marketing - vente,"Le chef de projet communication digitale recense les besoins de communication en ligne de son entreprise (ou de son client s'il travaille pour une agence) afin de définir une stratégie de communication digitale, en lien avec la stratégie globale de l'entreprise. Il conseille sur les outils et les supports les plus adaptés ; il établit un budget. Il crée et gère les contenus diffusés sur les médias en ligne (bandeaux publicitaires, vidéos, applications mobiles...), en veillant à la cohérence éditoriale et visuelle des messages. Son but est de donner la meilleure visibilité possible à l'entreprise et de générer du trafic sur les supports digitaux sélectionnés pour sa campagne. Pour cela, il suit les résultats de ses actions en analysant les statistiques de fréquentation, le nombre de clics sur une publicité en ligne et ajuste son plan de communication pour plus d'efficacité. Il réalise une veille active sur son secteur, la concurrence, les innovations... "
ingénieur / ingénieure logistique,"O : Transport, logistique",logistique - transport,N1301,logistique,"L'ingénieur logistique supervise et coordonne le flux des marchandises (matières premières, fournitures, produits finis) de l'usine, l'entreprise ou la plateforme logistique. Il veille à tout, depuis l'approvisionnement jusqu'à l'expédition chez les clients, en passant par le stockage. Il utilise des logiciels informatiques pour suivre et évaluer son organisation qu'il n'a de cesse d'améliorer. À la jonction de nombreux services de l'entreprise (commercial, achat, service après-vente, direction...), il prend en compte et anticipe les besoins de chacun. Son but : obtenir le meilleur rapport qualité-coût-délais grâce à une organisation impeccable ! "
employé/e d'élevage,A : Agriculture,"agriculture, animaux",A1407,élevage - aquaculture,"Sur l'exploitation, l'employé d'élevage prend soin des animaux. Il les nourrit en distribuant les rations d'eau et d'aliment adaptées. Chez un éleveur producteur de poules pondeuses par exemple, il ramasse les oeufs matin et soir, les calibre et assure leur traçabilité en renseignant le cahier d'élevage. En production laitière, il s'occupe principalement de la traite et de l'alimentation des vaches, des chèvres ou des brebis. Quel que soit l'élevage, il s'assure que les litières ou les nids sont propres, veille à la bonne ventilation des bâtiments et au respect des températures, notamment pour assurer la bonne santé des jeunes animaux. S'il travaille dans un élevage d'animaux en plein air, il contrôle les clôtures des terrains et les répare si nécessaire. Collaborateur de l'éleveur, il peut être amené à le remplacer sur de courtes périodes. Esprit d'initiative et autonomie sont alors indispensables. Cet emploi peut constituer une première expérience, dans la perspective de s'installer comme éleveur."
réflexologue,"R : Santé, social, soins personnels",sciences,K1103,biologie,"À l'écoute de ses clients, le réflexologue tente de réduire leur stress ou de leur apporter un soulagement (digestion, sommeil, etc.) en pressant sur des points réflexes précis situés sous les pieds, dans la main, sur le visage ou le crâne. Il travaille le plus souvent en libéral, seul ou pour une structure de santé, de bien-être, etc. Il exerce souvent la réflexologie en complément d'une autre activité (massage, podologie, kinésithérapie, acupuncture, etc.). Il peut obtenir son certificat de réflexologie après plusieurs mois de formation théorique et pratique, quel que soit son niveau de formation initial."
conducteur / conductrice de machines à imprimer,"N : Techniques graphiques, impression","information-communication, audiovisuel",E1301,automatismes,"Préparer la machine pour l'impression, effectuer les réglages, réaliser des essais, lancer l'impression de journaux, magazines, étiquettes, affiches... sont autant d'opérations orchestrées par le conducteur de machines à imprimer.
À l'intérieur d'une usine, il est chargé de piloter une machine de production. Garant de la qualité d'impression, ce professionnel travaille sur des machines plus ou moins complexes : machines de 1 à 4 couleurs et plus, à commandes numériques, sérigraphiques, rotatives... ou offset, la technique d'impression la plus répandue. Il examine les instructions du dossier de fabrication. Il prépare les encres, le papier, effectue les réglages et procède à des essais jusqu'à l'obtention du ""bon à rouler"". Ensuite, il lance l'impression et contrôle la conformité du produit imprimé. 
En cas de problème, il intervient rapidement, car la production ne doit surtout pas s'arrêter ! Souvent des équipes se relaient en 3 × 8 heures ou en 5 × 8 heures. Le conducteur de machines à imprimer obéit à des règles strictes de sécurité. Le respect des normes européennes en matière d'environnement est également crucial."
couvreur / couvreuse,C : Bâtiment,construction - architecture - travaux publics,F1610,"génie civil, construction (généralités)","Le couvreur réalise, répare et entretient les toits. À partir d'un plan (bonnes connaissances en géométrie, métré et dessin nécessaires), il prépare le support en bois sur lequel il ajustera, au millimètre près, des matériaux aussi divers que l'ardoise, la tuile, le verre, le plastique, la lauze, le chaume. Il utilise aussi des métaux (zinc, tôle, aluminium, cuivre, plomb). Il assure aussi la pose des chéneaux, des gouttières, des lucarnes, du raccord de souche de cheminée et l'isolation thermique. Tout cela, après avoir posé des échafaudages. Toujours dehors et en hauteur, le couvreur doit être résistant et agile, ignorer le vertige et respecter les règles de sécurité. Salarié d'une entreprise de bâtiment, il peut aussi s'installer à son compte comme artisan, se spécialiser dans un matériau, combiner son activité à la plomberie, au chauffage, à la charpente, aux panneaux solaires, etc. Les débouchés sont assurés pour le couvreur qualifié."
chargé / chargée d'études en marketing,"Q : Commerce, gestion, finances","commerce, marketing, vente",M1403,journalisme - édition - publicité,"Avant de lancer un nouveau produit ou un nouveau service sur le marché, le chargé d'études en marketing analyse les attentes des clients et l'offre de la concurrence pour assurer au maximum le succès commercial.
Ses missions : étudier les comportements d'achat et examiner la concurrence. Ses instruments : enquêtes, échantillons, entretiens qualitatifs et quantitatifs, réunions de groupes ou encore visites dans les magasins pour analyser les hésitations et la prise de décision du consommateur. Son objectif : livrer des études chiffrées, objectives, utiles pour mettre en place une stratégie commerciale adaptée."
